"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"evolutivo_densidad"
"10/26/2025 18:00:30:650 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"6","square-x","60","30","30","1","97.883149872989","0.12626262626262627"
"14","square-x","60","40","18","4","97.01845716990061","0.37629350893697083"
"13","square-x","60","40","22","0","97.83037475345168","0"
"19","square-x","60","40","2","365","68.28868234007655","34.33678269049859"
"15","square-x","60","40","8","81","89.80984885421745","7.627118644067797"
"16","square-x","60","40","6","135","84.86541391569324","12.844909609895339"
"14","square-x","60","40","19","0","97.44560075685904","0"
"6","square-x","60","30","31","1","97.96610169491525","0.12626262626262627"
"18","square-x","60","40","7","88","89.54983922829582","8.619000979431929"
"17","square-x","60","40","9","57","92.5257731958763","5.372290292177191"
"19","square-x","60","40","3","263","74.79630635524171","24.741298212605834"
"15","square-x","60","40","9","65","91.76755447941889","6.120527306967985"
"6","square-x","60","30","32","1","97.96610169491525","0.12626262626262627"
"16","square-x","60","40","7","94","88.29465186680122","8.943862987630828"
"18","square-x","60","40","8","81","91.16869381279746","7.933398628795299"
"17","square-x","60","40","10","47","92.54783484390735","4.429783223374175"
"21","square-x","60","50","0","831","49.54296160877514","62.6224566691786"
"19","square-x","60","40","4","201","80.13591217982227","18.908748824082785"
"6","square-x","60","30","33","1","97.96610169491525","0.12626262626262627"
"18","square-x","60","40","9","57","93.77328366152209","5.582761998041136"
"16","square-x","60","40","8","71","90.75672930421533","6.755470980019029"
"15","square-x","60","40","10","53","93.02779132130668","4.990583804143126"
"6","square-x","60","30","34","0","98.05414551607446","0"
"20","square-x","60","40","0","599","51.259987707437006","58.32521908471276"
"19","square-x","60","40","5","163","82.53968253968253","15.33396048918156"
"17","square-x","60","40","11","32","93.3233682112606","3.016022620169651"
"18","square-x","60","40","10","48","93.4375","4.701273261508325"
"17","square-x","60","40","12","30","94.30443548387096","2.827521206409048"
"21","square-x","60","50","1","652","57.46880570409982","49.133383571966846"
"19","square-x","60","40","6","134","86.90292758089369","12.605832549388523"
"20","square-x","60","40","1","464","59.40298507462687","45.18013631937682"
"18","square-x","60","40","11","27","95.26041666666667","2.644466209598433"
"17","square-x","60","40","13","27","94.77124183006535","2.5447690857681433"
"15","square-x","60","40","11","41","94.2428640541848","3.8606403013182673"
"21","square-x","60","50","2","500","64.59363957597174","37.67897513187641"
"19","square-x","60","40","7","90","88.93871449925261","8.466603951081844"
"18","square-x","60","40","12","16","95.79875518672199","1.5670910871694417"
"17","square-x","60","40","14","19","95.44772386193097","1.7907634307257305"
"18","square-x","60","40","13","16","96.31168831168831","1.5670910871694417"
"17","square-x","60","40","15","17","95.29003470500743","1.6022620169651274"
"21","square-x","60","50","3","368","71.51876534549281","27.731725697061037"
"16","square-x","60","40","9","63","92.13709677419355","5.99429115128449"
"20","square-x","60","40","2","370","66.28440366972477","36.027263875365136"
"15","square-x","60","40","12","30","95.01452081316553","2.824858757062147"
"22","square-x","60","50","0","778","48.59011033919084","61.30811662726556"
"18","square-x","60","40","14","13","96.83281412253375","1.2732615083251715"
"19","square-x","60","40","8","68","91.19840875186475","6.3969896519285045"
"17","square-x","60","40","16","8","95.95660749506904","0.7540056550424128"
"21","square-x","60","50","4","285","76.287932251235","21.477015825169556"
